City,Date,Duration
Vienna,26/06/2017,
London,28/06/2017,2d
Frankfurt,30/06/2017,2d
Moscow,02/07/2017,2d
Los Angeles,06/07/2017,4d
Portland,22/08/2017,6w 5d
Los Angeles ,22/08/2017,0w
Istanbul,22/08/2017,0w
Delhi,23/08/2017,1d
Ahmedabad,25/08/2017,2d
Jaipur,28/08/2017,3d
Varanasi,30/08/2017,2d
Los Angeles,01/09/2017,2d
London,14/09/2017,1w 6d
Istanbul,15/09/2017,1d
Los Angeles ,27/09/2017,1w 5d
Istanbul,27/09/2017,0w
Los Angeles ,05/10/2017,1w 1d
Detroit,07/10/2017,2d
Saint Petersburg,09/10/2017,2d
Syracuse,15/10/2017,6d
Los Angeles,17/10/2017,2d
Barcelona,23/10/2017,6d
Amsterdam,29/10/2017,6d
London,30/10/2017,1d
Los Angeles,03/11/2017,4d
Copenhagen,27/11/2017,3w 3d
London,30/11/2017,3d
Frankfurt,01/12/2017,1d
Hong Kong,02/12/2017,1d
Shenzhen,04/12/2017,2d
Los Angeles,08/12/2017,4d
Taipei,11/12/2017,3d
Washington,14/12/2017,3d
Geneva,14/12/2017,0w
Singapore,15/12/2017,1d
Melbourne,17/12/2017,2d
Sydney,20/12/2017,3d
Melbourne,22/12/2017,2d
Alice Springs,25/12/2017,5d
Brisbane,06/01/2018,1w 5d
Los Angeles,20/01/2018,2w
London,22/01/2018,2d
Reykjavik,29/01/2018,1w
Los Angeles ,22/02/2018,3w 3d
Rome,28/02/2018,6d
Los Angeles ,02/03/2018,2d
Brussels,03/03/2018,1d
Berlin,04/03/2018,1d
Moscow,12/03/2018,1w 1d
Austin,15/03/2018,3d
London,23/03/2018,1w 1d
Los Angeles,25/03/2018,2d
Denver,26/03/2018,1d
Charlotte,27/03/2018,1d
Las Vegas,06/04/2018,1w 3d
Istanbul,08/04/2018,2d
Los Angeles,10/04/2018,2d
Montreal,12/04/2018,2d
Los Angeles,16/04/2018,4d
Boston,25/04/2018,1w 2d
Lisbon,26/04/2018,1d
Amsterdam,27/04/2018,1d
London,01/05/2018,4d
Trondheim,06/05/2018,5d
Dusseldorf,07/05/2018,1d
Tokyo,20/05/2018,1w 6d
Venice,28/05/2018,1w 1d
London,29/05/2018,1d
Los Angeles,13/06/2018,2w 1d
Prague,18/06/2018,5d
London,20/06/2018,2d
Los Angeles,29/06/2018,1w 2d
Melbourne,02/07/2018,3d
Pristina,06/07/2018,4d
Vienna,09/07/2018,3d
Berlin,19/07/2018,1w 3d
Ancona,21/07/2018,2d
Melbourne,26/07/2018,5d
Sydney,04/08/2018,1w 2d
Los Angeles,16/08/2018,1w 5d
Zurich,17/08/2018,1d
Brussels,10/09/2018,3w 3d
Moscow,10/09/2018,0w
Helsinki,11/09/2018,1d
Tallinn,13/09/2018,2d
Boston,30/09/2018,2w 3d
Los Angeles,11/10/2018,1w 4d
Hangzhou,14/10/2018,3d
Warsaw,16/10/2018,2d
Los Angeles,03/11/2018,2w 4d
Amsterdam,04/11/2018,1d
Berlin,08/11/2018,4d
Munich,25/11/2018,2w 3d
Moscow,27/11/2018,2d
Chicago,28/11/2018,1d
Oslo,06/12/2018,1w 1d
Berlin,16/12/2018,1w 3d
London,17/12/2018,1d
Istanbul,04/01/2019,2w 4d
Los Angeles,08/01/2019,4d
Newark,29/01/2019,3w
Abu Dhabi ,30/01/2019,1d
London,03/02/2019,4d
Boston,12/02/2019,1w 2d
San Francisco,14/02/2019,2d
Ljubljana,26/02/2019,1w 5d
Toronto,27/02/2019,1d
Moscow,03/03/2019,4d
Chelyabinsk,08/03/2019,5d
Mexico City,12/03/2019,4d
Los Angeles,28/03/2019,2w 2d
Munich,11/04/2019,2w
Amsterdam,13/04/2019,2d
Chicago,29/04/2019,2w 2d
Frankfurt,05/05/2019,6d
Tokyo,08/05/2019,3d
Bangkok,10/05/2019,2d
Istanbul,16/05/2019,6d
Moscow,28/05/2019,1w 5d
London,12/06/2019,2w 1d
Los Angeles,20/06/2019,1w 1d
Bogota ,07/07/2019,2w 3d
Los Angeles,13/07/2019,6d
Moscow,17/07/2019,4d
Los Angeles,30/08/2019,6w 2d
Monterrey,29/09/2019,4w 2d
Sydney,04/10/2019,5d
Chicago,24/10/2019,2w 6d
London,30/10/2019,6d
Vancouver,10/11/2019,1w 4d
Los Angeles,14/11/2019,4d
Tampa,28/11/2019,2w
Hong Kong,20/12/2019,3w 1d
Hangzhou,24/12/2019,4d
